Question 16: IA-08.E01 Identification And Authentication (Non-Organizational Users) | Acceptance Of Piv Credentials From Other Agencies,,Provide Question Response,,,,,,,,,,,
The information system accepts and electronically verifies Personal Identity Verification (PIV) credentials from other federal agencies.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from the VA.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 17: IA-08.E02 Identification And Authentication (Non-Organizational Users) | Acceptance Of Third-Party Credentials,,Provide Question Response,,,,,,,,,,,
The information system accepts only FICAM-approved third-party credentials.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from the VA and VAEC AWS GovCloud High Assessing. This control is partially inherited from FedRAMP JAB authorized package ID F1603047866 for Amazon Web Services GovCloud High.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 18: IA-08.E03 Identification And Authentication (Non-Organizational Users) | Use Of Ficam-Approved Products,,Provide Question Response,,,,,,,,,,,
The organization employs only FICAM-approved information system components in [Assignment: organization-defined information systems] to accept third-party credentials.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from the VA.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 19: IA-08.E04 Identification And Authentication (Non-Organizational Users) | Use Of Ficam-Issued Profiles,,Provide Question Response,,,,,,,,,,,
The information system conforms to FICAM-issued profiles.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from the VA.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 20: IA-01.1 Identification And Authentication Policy And Procedures,,Provide Question Response,,,,,,,,,,,
"The organization:
a. Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:
1. An identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
2. Procedures to facilitate the implementation of the identification and authentication policy and associated identification and authentication controls; and
b. Reviews and updates the current:
1. Identification and authentication policy [Assignment: organization-defined frequency]; and
2. Identification and authentication procedures [Assignment: organization-defined frequency].",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is inherited from VA OI&T. The OI&T develops, documents, and disseminates policies and procedures enterprise-wide. In accordance with VA Directive and Handbook 6330, the Identification and Authentication Policy is reviewed every five (5) years.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 21: IA-03.1 Device Identification And Authentication,,Provide Question Response,,,,,,,,,,,
The information system uniquely identifies and authenticates [Assignment: organization-defined specific and/or types of devices] before establishing a [Selection (one or more): local; remote; network] connection.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited fromo VAEC.VAM follows the VAEC AWS GovCloud High which uniquely identifies all systems in the environment via unique identifier (UID). Devices are authenticated for network access based off the IP range of the environment.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 22: IA-04.1 Identifier Management,,Provide Question Response,,,,,,,,,,,
"The organization manages information system identifiers by:
a. Receiving authorization from [Assignment: organization-defined personnel or roles] to assign an individual, group, role, or device identifier;
b. Selecting an identifier that identifies an individual, group, role, or device;
c. Assigning the identifier to the intended individual, group, role, or device;
d. Preventing reuse of identifiers for [Assignment: organization-defined time period]; and
e. Disabling the identifier after [Assignment: organization-defined time period of inactivity].",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is inherited from VA EO and VAEC. a. In accordance with VA Handbook 6500, the VAEC AWS GovCloud High accepts and verifies PIV credentials using a centralized server managed by VA AD. AD services are controlled and managed by the VA AD Team. The VAEC AWS GovCloud High requires all users to uniquely identify and authenticate to the system prior to establishing remote connections. Access to all systems are entered into the SDM/CMDB system and the account manager authorizes access based on a valid need, intended system usage, and mission/business function.b. VA AD team selects PIV cards that uniquely identify users. VAEC AWS GovCloud High uses IP addresses to identify cloudbased network access points/devices.c. VA AD team assigns PIV cards that uniquely identify users. VAEC AWS GovCloud High uses IP addresses to identify cloudbased network access points/devices.d. In accordance with VA Handbook 6500, the VAEC AWS GovCloud High prevents the reuse of identifiers for at least two years.e. In accordance with VA Handbook 6500, the VAEC AWS GovCloud High manages information system identifiers for users and devices by disabling the identifier after ninety days of inactivity.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 23: IA-06.1 Authenticator Feedback,,Provide Question Response,,,,,,,,,,,
The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is partially inherited from VAEC AWS and VA EO.VAM uses RPC for authentication. The RPC protocol is connection-oriented and synchronous with clients opening a connection to VistA and only making new RPC calls after receiving a reply from a previous call.Clients log into VistA in different ways – there are Connection Proxies, CAPRI tokens, BSE tokens, Access Verify, SAML tokens. Each method is recognized by the Router and allows it to associate a client’s identity with the session. It is important to note that the Router doesn’t implement authentication – it merely notes how VistA responds to different sign on options and changes the client session appropriately. Authentication is provided by VA EO.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 24: IA-07.1 Cryptographic Module Authentication,,Provide Question Response,,,,,,,,,,,
"The information system implements mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from VA EO and VAEC.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
